"","q","q.p","n","rho","coef","K","sd"
"53",49,0.451085242815316,1218,0.817852218355984,0,20,0.0275038383904883
"54",51,0.991151704266667,350,0.608663598471321,0,19,0.0537345399058113
"55",80,0.812805158342235,1742,0.575190244149417,0,15,0.0244531946741417
"56",100,0.381164636393078,1116,0.134644074342214,0,14,0.0292487942616288
"57",178,0.835405957349576,1260,0.541012851032428,0,17,0.0283314577666315
"58",64,0.298818794987164,438,0.245476112281904,0,12,0.0492360590925487
"59",87,0.550966438255273,1279,0.412068033940159,0,18,0.0287432204868224
"60",93,0.250275066681206,1906,0.200027783936821,0,3,0.0226860096638358
"61",149,0.207693275040947,671,0.229429365182295,0,8,0.0367795944341528
"62",141,0.907848970964551,1838,0.588318954454735,0,17,0.0231951340739571
"63",113,0.184343390795402,1344,0.424793845019303,0,10,0.0268925706055914
"64",130,0.878552700998262,116,0.144866732088849,0,3,0.104075741500499
"65",114,0.348932317341678,1568,0.244872301141731,0,8,0.0253392409944474
"66",155,0.124555323459208,652,0.641660483716987,0,19,0.0389628447075445
"67",163,0.808646467025392,1660,0.552018286962993,0,8,0.024794716508783
"68",170,0.42279426981695,338,0.118909769598395,0,7,0.0573134453332372
"69",37,0.122592669189908,431,0.0630065278848633,0,11,0.0483840186076404
"70",84,0.771484238165431,609,0.869638511678204,0,12,0.0399059036580194
"71",64,0.126663019438274,1910,0.331443250179291,0,5,0.022272796484425
"72",76,0.490478347893804,1175,0.609708676161245,0,11,0.0282766482236269
"73",137,0.330964149697684,810,0.76135655734688,0,20,0.0349226113044489
"74",67,0.548213698877953,366,0.217485346784815,0,8,0.0527459773786119
"75",173,0.688019707519561,1778,0.0316358919488266,0,8,0.0224607894673519
"76",96,0.175291197095066,300,0.535716213053092,0,10,0.0612178491517214
"77",41,0.2624252155656,1629,0.752572015207261,0,6,0.0249233712577178
"78",178,0.194016251433641,1105,0.32602428921964,0,19,0.0297748711243986
"79",87,0.831153685436584,1467,0.298969680047594,0,8,0.0253456867282236
"80",148,0.664752197475173,1462,0.580262697651051,0,9,0.0263347191373402
"81",10,0.6675152373733,750,0.862753623118624,0,9,0.035763301364699
"82",184,0.451800865191035,644,0.536583265615627,0,13,0.0398631349443721
"83",93,0.489028216409497,716,0.45925201617647,0,3,0.0370589987154625
"84",99,0.41377060203813,1914,0.139737722324207,0,10,0.0219215246509484
"85",50,0.814201982808299,1371,0.761265904968604,0,19,0.0272929409620131
"86",93,0.898242500866763,116,0.192942383070476,0,16,0.103589192370066
"87",12,0.686014378047548,1773,0.602885920344852,0,9,0.023889571260416
"88",175,0.633576937834732,1579,0.555980806122534,0,5,0.0245768084413893
"89",123,0.395039884466678,1653,0.0449997992953286,0,3,0.0233010574320916
"90",28,0.168120431154966,201,0.854458898026496,0,17,0.0699055532966723
"91",9,0.632248517870903,1980,0.524296828452498,0,16,0.0215882768220086
"92",146,0.260503087169491,170,0.774858903349377,0,14,0.0831085579598629
"93",197,0.767215111711994,1482,0.466620524413884,0,19,0.02599900187172
"94",105,0.36448858731892,1519,0.239514735108241,0,10,0.0255687737844836
"95",103,0.675267229625024,1612,0.53763989713043,0,3,0.0238299339391679
"96",8,0.212340157525614,179,0.716018475755118,0,4,0.0794674718136303
"97",39,0.329739205376245,742,0.620357433822937,0,7,0.0377002152786412
"98",14,0.838517218595371,1350,0.432568480144255,0,15,0.0262396287396838
"99",16,0.82340235367883,632,0.419336449890397,0,11,0.039052285667734
"100",132,0.141251167654991,1873,0.55657110165339,0,18,0.0226982602511056
